user_id,age,country,subscription_type,registration_date,total_watch_time_hours,age_group
U0001,21,Argentina,Basic,2022-10-02,58.0,21-30 years
U0002,44,Mexico,Standard,2022-09-30,75.3,41-50 years
U0003,20,Argentina,Standard,2023-01-24,360.0,11-20 years
U0004,39,Peru,Standard,2022-12-15,513.0,31-40 years
U0005,28,Colombia,Basic,2022-05-19,192.8,21-30 years
U0006,39,Colombia,Standard,2023-12-20,156.2,31-40 years
U0007,18,Colombia,Basic,2023-03-23,428.0,11-20 years
U0008,56,Colombia,Standard,2023-01-22,47.8,51-60 years
U0009,38,Mexico,Basic,2024-01-20,229.7,31-40 years
U0010,20,Colombia,Standard,2022-04-05,444.7,11-20 years
U0011,26,Argentina,Premium,2022-01-22,336.6,21-30 years
U0012,45,Argentina,Standard,2023-08-11,292.4,41-50 years
U0013,48,Argentina,Basic,2022-02-07,386.7,41-50 years
U0014,39,Colombia,Basic,2023-06-19,402.7,31-40 years
U0015,31,Mexico,Standard,2023-09-16,387.6,31-40 years
U0016,54,Mexico,Standard,2022-11-19,17.4,51-60 years
U0017,59,Colombia,Standard,2023-06-10,240.7,51-60 years
U0018,52,Colombia,Basic,2023-10-16,360.2,51-60 years
U0019,56,Colombia,Premium,2023-05-13,477.2,51-60 years
U0020,44,Peru,Standard,2023-01-19,311.9,41-50 years
U0021,59,Argentina,Basic,2022-07-05,329.1,51-60 years
U0022,23,Colombia,Standard,2023-05-14,438.8,21-30 years
U0023,28,Chile,Basic,2022-12-09,192.6,21-30 years
U0024,43,Colombia,Premium,2022-03-17,728.7,41-50 years
U0025,42,Colombia,Standard,2023-08-10,469.9,41-50 years
U0026,19,Mexico,Premium,2022-07-13,653.9,11-20 years
U0027,58,Argentina,Standard,2023-01-08,17.6,51-60 years
U0028,40,Colombia,Basic,2022-08-23,208.8,31-40 years
U0029,50,Colombia,Standard,2024-01-12,496.6,41-50 years
U0030,21,Chile,Standard,2023-10-17,199.3,21-30 years
U0031,49,Argentina,Standard,2024-02-22,382.4,41-50 years
U0032,32,Argentina,Standard,2023-07-12,296.5,31-40 years
U0033,29,Chile,Basic,2022-06-07,545.7,21-30 years
U0034,46,Chile,Basic,2023-01-23,378.3,41-50 years
U0035,20,Mexico,Standard,2022-01-11,100.3,11-20 years
U0036,30,Mexico,Premium,2022-01-22,271.2,21-30 years
U0037,40,Argentina,Standard,2023-12-03,171.9,31-40 years
U0038,45,Mexico,Standard,2023-10-12,259.2,41-50 years
U0039,24,Argentina,Basic,2023-09-25,44.7,21-30 years
U0040,40,Mexico,Standard,2023-12-26,64.2,31-40 years
U0041,45,Colombia,Standard,2022-01-09,479.9,41-50 years
U0042,42,Argentina,Basic,2022-03-17,277.8,41-50 years
U0043,58,Peru,Premium,2023-02-18,43.7,51-60 years
U0044,38,Colombia,Basic,2022-09-26,478.3,31-40 years
U0045,20,Colombia,Basic,2024-02-08,313.7,11-20 years
U0046,44,Argentina,Premium,2022-12-23,43.3,41-50 years
U0047,58,Colombia,Premium,2022-06-17,797.6,51-60 years
U0048,44,Argentina,Standard,2022-03-07,434.0,41-50 years
U0049,61,Mexico,Basic,2022-05-28,173.1,61-70 years
U0050,33,Mexico,Basic,2024-02-01,48.4,31-40 years
U0051,58,Colombia,Standard,2022-02-28,412.0,51-60 years
U0052,42,Mexico,Basic,2023-07-05,160.0,41-50 years
U0053,59,Colombia,Standard,2024-03-01,495.5,51-60 years
U0054,42,Chile,Standard,2023-01-13,86.4,41-50 years
U0055,39,Chile,Basic,2023-06-14,68.6,31-40 years
U0056,28,Colombia,Basic,2023-08-27,219.2,21-30 years
U0057,21,Mexico,Premium,2024-01-30,168.6,21-30 years
U0058,60,Colombia,Standard,2022-01-22,195.8,51-60 years
U0059,65,Argentina,Standard,2024-01-28,391.9,61-70 years
U0060,63,Mexico,Premium,2023-11-16,415.9,61-70 years
U0061,45,Peru,Basic,2022-01-29,87.7,41-50 years
U0062,38,Mexico,Standard,2023-06-14,314.7,31-40 years
U0063,26,Peru,Premium,2022-12-18,561.1,21-30 years
U0064,52,Mexico,Standard,2024-01-14,206.1,51-60 years
U0065,54,Chile,Basic,2022-12-15,49.9,51-60 years
U0066,50,Argentina,Basic,2022-09-07,109.6,41-50 years
U0067,38,Argentina,Premium,2022-09-28,410.2,31-40 years
U0068,50,Peru,Basic,2022-03-24,478.5,41-50 years
U0069,50,Colombia,Basic,2022-07-24,381.5,41-50 years
U0070,19,Colombia,Standard,2022-07-18,186.7,11-20 years
U0071,32,Mexico,Basic,2022-03-29,304.0,31-40 years
U0072,23,Peru,Standard,2022-12-16,371.9,21-30 years
U0073,26,Colombia,Premium,2023-07-02,168.0,21-30 years
U0074,48,Argentina,Basic,2023-05-20,368.0,41-50 years
U0075,19,Argentina,Premium,2022-09-21,791.4,11-20 years
U0076,54,Mexico,Premium,2023-05-13,318.3,51-60 years
U0077,32,Mexico,Basic,2023-05-29,463.2,31-40 years
U0078,57,Argentina,Basic,2023-10-13,11.6,51-60 years
U0079,56,Argentina,Premium,2023-09-16,873.8,51-60 years
U0080,39,Argentina,Standard,2023-12-14,355.8,31-40 years
U0081,62,Colombia,Premium,2022-02-23,336.1,61-70 years
U0082,47,Argentina,Basic,2023-01-06,479.3,41-50 years
U0083,44,Argentina,Premium,2022-11-20,371.5,41-50 years
U0084,46,Colombia,Premium,2022-12-18,815.2,41-50 years
U0085,30,Chile,Standard,2022-07-05,236.8,21-30 years
U0086,21,Chile,Basic,2023-03-01,213.3,21-30 years
U0087,34,Chile,Premium,2022-06-29,859.2,31-40 years
U0088,42,Peru,Basic,2023-01-13,43.9,41-50 years
U0089,36,Mexico,Basic,2022-05-06,455.0,31-40 years
U0090,50,Colombia,Standard,2023-09-12,201.5,41-50 years
U0091,42,Argentina,Basic,2022-02-22,297.1,41-50 years
U0092,37,Mexico,Premium,2022-04-21,476.2,31-40 years
U0093,63,Colombia,Premium,2022-11-29,232.0,61-70 years
U0094,46,Mexico,Standard,2022-09-30,506.4,41-50 years
U0095,54,Peru,Standard,2023-08-09,192.9,51-60 years
U0096,62,Mexico,Standard,2023-04-12,275.9,61-70 years
U0097,35,Colombia,Standard,2022-12-12,573.5,31-40 years
U0098,29,Mexico,Standard,2022-05-07,26.1,21-30 years
U0099,60,Mexico,Standard,2023-05-24,399.1,51-60 years
U0100,48,Colombia,Basic,2023-07-02,31.0,41-50 years
U0101,52,Colombia,Basic,2022-05-25,152.7,51-60 years
U0102,41,Argentina,Premium,2022-08-15,605.7,41-50 years
U0103,20,Chile,Standard,2023-04-20,339.3,11-20 years
U0104,56,Mexico,Standard,2022-10-23,384.3,51-60 years
U0105,18,Argentina,Basic,2022-11-25,404.4,11-20 years
U0106,32,Chile,Standard,2023-12-06,534.0,31-40 years
U0107,34,Colombia,Premium,2022-10-19,184.7,31-40 years
U0108,44,Colombia,Standard,2023-01-02,261.9,41-50 years
U0109,56,Mexico,Basic,2022-01-14,228.1,51-60 years
U0110,28,Chile,Basic,2022-07-22,36.1,21-30 years
U0111,51,Colombia,Premium,2022-06-19,691.7,51-60 years
U0112,51,Mexico,Premium,2022-07-18,285.0,51-60 years
U0113,47,Peru,Basic,2022-08-18,148.4,41-50 years
U0114,23,Colombia,Standard,2022-04-16,299.5,21-30 years
U0115,52,Colombia,Basic,2023-07-25,132.2,51-60 years
