session_id,user_id,content_id,watch_date,watch_duration_minutes,completion_percentage,device_type,quality_level
S000001,U0001,S001,2024-02-16,9,18.8,Desktop,4K
S000052,U0002,M198,2024-06-17,19,20.5,Desktop,HD
S000085,U0003,M188,2024-04-05,19,17.3,Mobile,HD
S000092,U0003,S097,2024-06-18,6,16.3,Mobile,SD
S000140,U0005,M150,2024-05-01,16,13.9,Mobile,SD
S000144,U0005,S018,2024-05-31,5,14.9,Mobile,HD
S000212,U0007,S033,2024-06-10,4,15.6,Smart TV,HD
S000235,U0007,M025,2024-04-24,22,14.0,Smart TV,4K
S000236,U0007,M073,2024-02-10,26,18.7,Mobile,HD
S000272,U0008,M026,2024-08-08,27,16.8,Smart TV,HD
S000306,U0009,M136,2024-05-23,15,15.2,Mobile,SD
S000325,U0009,M134,2024-03-14,13,10.0,Mobile,HD
S000350,U0009,M197,2024-06-04,20,13.3,Mobile,HD
S000351,U0009,M169,2024-02-21,15,10.2,Desktop,SD
S000376,U0010,M125,2024-04-06,31,19.0,Desktop,HD
S000477,U0014,S081,2024-01-27,5,20.5,Smart TV,SD
S000606,U0017,M015,2024-01-30,35,20.2,Mobile,HD
S000628,U0018,S045,2024-05-30,4,19.8,Mobile,SD
S000630,U0018,M013,2024-01-14,23,13.0,Mobile,4K
S000758,U0021,S068,2024-03-06,3,13.9,Tablet,SD
S000760,U0021,M006,2024-04-03,19,12.7,Smart TV,4K
S000865,U0023,M117,2024-04-26,31,18.4,Mobile,HD
S001062,U0028,M037,2024-03-09,14,16.2,Smart TV,HD
S001067,U0028,M045,2024-05-20,14,11.7,Tablet,SD
S001073,U0029,M011,2024-03-30,17,21.1,Gaming Console,HD
S001126,U0029,S066,2024-02-06,6,19.4,Smart TV,4K
S001141,U0029,S028,2024-07-22,6,14.3,Tablet,4K
S001165,U0030,M065,2024-01-12,20,20.2,Tablet,4K
S001234,U0031,S100,2024-06-03,7,18.4,Mobile,HD
S001260,U0031,M101,2024-07-11,22,15.1,Desktop,4K
S001275,U0031,M020,2024-05-30,10,10.2,Smart TV,SD
S001305,U0033,M122,2024-07-06,29,18.5,Mobile,SD
S001342,U0034,M175,2024-08-09,17,12.6,Tablet,4K
S001352,U0034,S039,2024-08-14,8,15.8,Smart TV,HD
S001359,U0034,M199,2024-02-09,34,19.4,Desktop,HD
S001372,U0034,M023,2024-03-03,20,14.0,Tablet,4K
S001393,U0035,S066,2024-05-21,4,13.5,Desktop,HD
S001424,U0035,M074,2024-03-17,23,15.8,Desktop,4K
S001451,U0035,M102,2024-07-22,23,15.9,Gaming Console,4K
S001579,U0039,M170,2024-06-24,25,20.4,Mobile,SD
S001634,U0041,M007,2024-06-01,24,17.7,Desktop,HD
S001671,U0042,M163,2024-02-15,11,13.9,Gaming Console,HD
S001704,U0042,M134,2024-06-22,17,13.4,Tablet,4K
S001838,U0044,M116,2024-03-15,19,14.5,Mobile,SD
S001873,U0045,M140,2024-06-28,13,12.6,Desktop,4K
